😀	विस्मयमानं मुखम्
📓	नोटबुक
📒	लेजर
📃	पृष्ठं कर्ल सह
📜	स्क्रॉल करें
📄	पृष्ठं उपरि मुखम्
📰	वृत्तपत्रम्
🗞️	लुलितं वृत्तपत्रम्
🗞	लुलितं वृत्तपत्रम्
📑	बुकमार्क ट्याब्स्
🔖	बुकमार्क
🏷️	नामपत्र
🏷	नामपत्र
💰	धनपुटम्
💴	येन बैंकनोट
💵	डॉलर के नोट
💶	यूरो बैंकनोट
💷	पौण्ड नोट्
💸	पक्षयुक्तं धनम्
💳	क्रेडिट कार्ड
🧾	प्राप्त
💹	येन सह वर्धमानः चार्टः
💱	मुद्राविनिमयः
💲	भारी डॉलर चिह्न
✉️	पिहितपत्र
✉	पिहितपत्र
📧	ई-मेल
📨	आगच्छन् लिफाफः
📩	बाणयुक्तं संवृतम्
📤	आउटबॉक्स ट्रे
📥	inbox tray
📦	सम्पुट
📫	उद्धृतध्वजसहितं बन्दं मेलबॉक्सम्
📪	अवनतध्वजयुक्तं बन्दं मेलबॉक्सम्
📬	उद्धृतध्वजेन सह मेलबॉक्सं उद्घाटयन्तु
📭	न्यूनीकृतध्वजयुक्तं मेलबॉक्सं उद्घाटयन्तु
📮	डाकपेटी
🗳️	मतपत्रेण सह मतपेटिका
🗳	मतपत्रेण सह मतपेटिका
✏️	अङ्कनी
✏	अङ्कनी
✒️	कृष्णा निब
✒	कृष्णा निब
🖋️	फव्वारा लेखनी
🖋	फव्वारा लेखनी
🖊️	लेखनी
🖊	लेखनी
🖌️	रङ्गमूषकः
🖌	रङ्गमूषकः
🖍️	क्रेयॉन
🖍	क्रेयॉन
📝	ज्ञापनपत्रम्
💼	अटैची
📁	सञ्चिकापुटम्
📂	सञ्चिकापुटं उद्घाटयन्तु
🗂️	कार्ड सूचकांक विभाजक
🗂	कार्ड सूचकांक विभाजक
📅	पञ्चाङ्गम्
📆	विच्छेदन-पञ्चाङ्गम्
🗒️	सर्पिल नोटपैड
🗒	सर्पिल नोटपैड
🗓️	सर्पिल पञ्चाङ्ग
🗓	सर्पिल पञ्चाङ्ग
📇	कार्ड अनुक्रमणिका
📈	चार्ट वर्धमानः
📉	चार्टः न्यूनः भवति
📊	बार चार्ट
📋	क्लिपबोर्ड
📌	पुशपिन्
📍	गोल पुशपिन्
📎	पेपरक्लिप
🖇️	लिङ्क्ड् पेपरक्लिप्स्
🖇	लिङ्क्ड् पेपरक्लिप्स्
📏	ऋजुः शासकः
📐	त्रिकोणीय शासकः
✂️	साम्यवादिपक्षाः
✂	साम्यवादिपक्षाः
🗃️	कार्ड सञ्चिकापेटी
🗃	कार्ड सञ्चिकापेटी
🗄️	सञ्चिकामन्त्रिमण्डलम्
🗄	सञ्चिकामन्त्रिमण्डलम्
🗑️	अपशिष्टपुटम्
🗑	अपशिष्टपुटम्
🔒	तालाबद्धः
🔓	अनलॉक्ड्
🔏	कलमेन कुण्डलितम्
🔐	कुञ्जी सह ताडितम्
🔑	कुंजी
🗝️	पुरातनं कीलम्
🗝	पुरातनं कीलम्
🔨	मुद्गरः
⛏️	चिनूहि
⛏	चिनूहि
⚒️	मुद्गरं च पिकं च
⚒	मुद्गरं च पिकं च
🛠️	मुद्गरः कुञ्जी च
🛠	मुद्गरः कुञ्जी च
🗡️	खड्गः
🗡	खड्गः
⚔️	लङ्घिताः खड्गाः
⚔	लङ्घिताः खड्गाः
🔫	पिस्तौल
🏹	धनुः बाणः
🛡️	कवच
🛡	कवच
🔧	कुञ्जी
🔩	अखरोटः बोल्टः च
⚙️	संयोक्त
⚙	संयोक्त
🗜️	क्लैम्प
🗜	क्लैम्प
⚖️	संतुलन स्केल
⚖	संतुलन स्केल
🔗	सम्बन्ध
⛓️	शृङ्खलाः
⛓	शृङ्खलाः
🧰	toolbox
🧲	चुम्बकम्
⚗️	अलेम्बिक
⚗	अलेम्बिक
🧪	परीक्षण नली
🧫	पेट्री पक्वान्न
🧬	dna
🔬	सूक्ष्मदर्शी
🔭	दूरबीन
📡	उपग्रह एंटीना
💉	सिरिन्ज इति
💊	गोली
🚪	द्वारम्
🛏️	शय्या
🛏	शय्या
🛋️	पर्यङ्कः दीपः च
🛋	पर्यङ्कः दीपः च
🚽	प्रसाधन
🚿	धारा
🛁	स्नानकुण्डम्
🧴	लोशनस्य शीशी
🧷	सुरक्षा पिन
🧹	ऊहनी
🧺	टोकरी
🧻	कागदस्य रोलः
🧼	फेनक
🧽	स्पञ्ज
🧯	अग्निशामकम्
🛒	शॉपिंग कार्ट
🚬	सिगरेट्
⚰️	चिता
⚰	चिता
⚱️	अन्त्येष्टि कलश
⚱	अन्त्येष्टि कलश
🗿	मोआइ
🏧	एटीएम चिह्न
🚮	litter in बिन चिह्न
🚰	पेयजलम्
♿	चक्रचालकस्य प्रतीकम्
🚹	पुरुषाणां कक्षः
🚺	स्त्रियाः कक्षः
🚻	शौचालयः
🚼	शिशु प्रतीक
🚾	जलकोष्ठः
🛂	पासपोर्ट नियन्त्रणम्
🛃	परंपरा
🛄	सामानस्य दावाः
🛅	वाम सामानम्
⚠️	चेतवानी
⚠	चेतवानी
🚸	बालकाः लङ्घयन्ति
⛔	प्रवेशः नास्ति
🚫	निषिद्धः
🚳	न द्विचक्रिकाः
🚭	धूम्रपानं न भवति
🚯	न कचरा
🚱	अपानीयं जलम्
🚷	न पदयात्रिकाः
📵	न मोबाईलफोनाः
🔞	अष्टादशवर्षेभ्यः न्यूनः कोऽपि नास्ति
☢️	रेडियोधर्मी
☢	रेडियोधर्मी
☣️	जैवखतरा
☣	जैवखतरा
⬆️	उपरि बाणः
⬆	उपरि बाणः
↗️	उपरि-दक्षिण बाणः
↗	उपरि-दक्षिण बाणः
➡️	दक्षिण बाणः
➡	दक्षिण बाणः
↘️	अधो-दक्षिणः बाणः
↘	अधो-दक्षिणः बाणः
⬇️	अधः बाणः
⬇	अधः बाणः
↙️	अधो-वाम-बाणः
↙	अधो-वाम-बाणः
⬅️	वामबाणः
⬅	वामबाणः
↖️	उपरि-वाम-बाणः
↖	उपरि-वाम-बाणः
↕️	उपरि-अधः बाणः
↕	उपरि-अधः बाणः
↔️	वाम-दक्षिण बाणः
↔	वाम-दक्षिण बाणः
↩️	दक्षिण बाण वक्र वाम
↩	दक्षिण बाण वक्र वाम
↪️	वामबाणवक्रं दक्षिणम्
↪	वामबाणवक्रं दक्षिणम्
⤴️	दक्षिणः बाणः उपरि वक्रः
⤴	दक्षिणः बाणः उपरि वक्रः
⤵️	दक्षिणः बाणः अधः वक्रः
⤵	दक्षिणः बाणः अधः वक्रः
🔃	घड़ीयाः दिशि लम्बवत् बाणाः
🔄	घड़ीयाः विपरीतदिशि बाणाः बटनम्
🔙	BACK बाणः
🔚	END बाणः
🔛	ON बाणः
🔜	SOON बाण
🔝	TOP बाण
🛐	पूजास्थानम्
⚛️	परमाणु प्रतीक
⚛	परमाणु प्रतीक
🕉️	ॐ
🕉	ॐ
✡️	दाऊदस्य तारा
✡	दाऊदस्य तारा
☸️	धर्मस्य चक्रम्
☸	धर्मस्य चक्रम्
☯️	यिन यङ
☯	यिन यङ
✝️	लैटिन क्रॉस
✝	लैटिन क्रॉस
