😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
🚮	ꯕꯤꯟ ꯁꯥꯏꯟꯗꯥ ꯂꯩꯕꯥ ꯂꯤꯇꯔ꯫
🚰	ꯊꯛꯅꯕꯥ ꯏꯁꯤꯡ꯫
♿	ꯍꯨꯏꯂꯆꯦꯌꯥꯔꯒꯤ ꯃꯁꯛ ꯇꯥꯀꯄꯥ꯫
🚹	ꯅꯨꯄꯥꯁꯤꯡꯒꯤ ꯔꯨꯃꯗꯥ ꯂꯩ꯫
🚺	ꯅꯨꯄꯤꯁꯤꯡꯒꯤ ꯔꯨꯃꯗꯥ ꯂꯩ꯫
🚻	ꯔꯦꯁ꯭ꯇꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ꯫
🚼	ꯕꯦꯕꯤ ꯁꯤꯝꯕꯣꯜ꯫
🚾	ꯏꯁꯤꯡ ꯇꯨꯡꯁꯤꯅꯕꯥ꯫
🛂	ꯄꯥꯁꯄꯣꯔꯠ ꯀꯟꯠꯔꯣꯜ ꯇꯧꯕꯥ꯫
🛃	ꯆꯠꯅꯕꯤꯁꯤꯡ
🛄	ꯕꯦꯒꯦꯖ ꯀ꯭ꯂꯦꯝ ꯇꯧꯕꯥ꯫
🛅	ꯂꯒꯥꯖꯦꯖ ꯊꯥꯗꯣꯀꯈꯤ꯫
⚠️	ꯆꯦꯛꯁꯤꯟꯋꯥ
⚠	ꯆꯦꯛꯁꯤꯟꯋꯥ
🚸	ꯑꯉꯥꯡꯁꯤꯡ ꯀ꯭ꯔꯣꯁꯤꯡ ꯇꯧꯕꯥ꯫
⛔	ꯑꯦꯟꯠꯔꯤ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ꯫
🚫	ꯑꯊꯤꯡꯕꯥ ꯊꯝꯂꯤ꯫
🚳	ꯁꯥꯏꯀꯜ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ꯫
🚭	ꯃꯩꯈꯨ ꯊꯥꯗꯣꯀꯄꯥ ꯌꯥꯔꯣꯏ꯫
🚯	ꯂꯤꯇꯔꯤꯡ ꯂꯩꯇꯕꯥ꯫
🚱	ꯊꯛꯅꯕꯥ ꯏꯁꯤꯡ ꯅꯠꯇꯕꯥ꯫
🚷	ꯈꯣꯡꯅꯥ ꯆꯠꯂꯤꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ ꯂꯩꯇꯦ꯫
📵	ꯃꯣꯕꯥꯏꯜ ꯐꯣꯟ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ꯫
🔞	ꯆꯍꯤ ꯇꯔꯥꯒꯤ ꯃꯈꯥꯗꯥ ꯂꯩꯕꯥ ꯀꯅꯥ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ꯫
☢️	ꯔꯦꯗꯤꯑꯣꯑꯦꯛꯇꯤꯚ ꯑꯣꯏꯕꯥ꯫
☢	ꯔꯦꯗꯤꯑꯣꯑꯦꯛꯇꯤꯚ ꯑꯣꯏꯕꯥ꯫
☣️	ꯕꯥꯏꯑꯣꯍꯦꯖꯥꯔꯗ ꯇꯧꯕꯥ꯫
☣	ꯕꯥꯏꯑꯣꯍꯦꯖꯥꯔꯗ ꯇꯧꯕꯥ꯫
⬆️	up arrow
⬆	up arrow
↗️	ꯑꯞ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
↗	ꯑꯞ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
➡️	ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
➡	ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
↘️	ꯗꯥꯎꯟ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
↘	ꯗꯥꯎꯟ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
⬇️	ꯗꯥꯎꯟ ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
⬇	ꯗꯥꯎꯟ ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
↙️	ꯗꯥꯎꯟ-ꯂꯦꯐꯠ ꯑꯦꯔꯣ꯫
↙	ꯗꯥꯎꯟ-ꯂꯦꯐꯠ ꯑꯦꯔꯣ꯫
⬅️	ꯂꯦꯃꯍꯧꯔꯤꯕꯥ ꯇꯤꯜ ꯑꯗꯨ꯫
⬅	ꯂꯦꯃꯍꯧꯔꯤꯕꯥ ꯇꯤꯜ ꯑꯗꯨ꯫
↖️	ꯑꯞ-ꯂꯦꯐꯠ ꯑꯦꯔꯣ꯫
↖	ꯑꯞ-ꯂꯦꯐꯠ ꯑꯦꯔꯣ꯫
↕️	ꯑꯞ-ꯗꯥꯎꯟ ꯑꯦꯔꯣ꯫
↕	ꯑꯞ-ꯗꯥꯎꯟ ꯑꯦꯔꯣ꯫
↔️	ꯂꯦꯐꯠ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
↔	ꯂꯦꯐꯠ-ꯔꯥꯏꯠ ꯑꯦꯔꯣ꯫
↩️	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯥꯔꯚꯤꯡ ꯂꯦꯐꯠ꯫
↩	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯥꯔꯚꯤꯡ ꯂꯦꯐꯠ꯫
↪️	ꯂꯦꯐꯠ ꯑꯦꯔꯣ ꯀꯥꯔꯚꯤꯡ ꯔꯥꯏꯠ꯫
↪	ꯂꯦꯐꯠ ꯑꯦꯔꯣ ꯀꯥꯔꯚꯤꯡ ꯔꯥꯏꯠ꯫
⤴️	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯨꯔꯚꯤꯡ ꯇꯧꯕꯥ꯫
⤴	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯨꯔꯚꯤꯡ ꯇꯧꯕꯥ꯫
⤵️	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯨꯔꯚꯤꯡ ꯇꯧꯕꯥ꯫
⤵	ꯔꯥꯏꯠ ꯑꯦꯔꯣ ꯀꯨꯔꯚꯤꯡ ꯇꯧꯕꯥ꯫
🔃	ꯘꯗꯤꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯚꯔꯇꯤꯀꯦꯜ ꯑꯦꯔꯣꯁꯤꯡ꯫
🔄	ꯀꯥꯎꯟꯇꯔꯛꯂꯣꯀꯋꯥꯏꯖ ꯑꯦꯔꯣꯁꯤꯡꯒꯤ ꯕꯇꯟ꯫
🔙	BACK ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
🔚	END ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
🔛	ꯑꯣꯟ ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
🔜	SOON ꯇꯤꯔ ꯑꯃꯥ꯫
🔝	TOP ꯑꯦꯔꯣ ꯇꯧꯕꯥ꯫
🛐	ꯂꯥꯏ ꯈꯨꯔꯨꯝꯕꯥ ꯃꯐꯝ꯫
⚛️	ꯑꯦꯇꯣꯝ ꯁꯤꯝꯕꯣꯜ꯫
⚛	ꯑꯦꯇꯣꯝ ꯁꯤꯝꯕꯣꯜ꯫
🕉️	ꯑꯣꯝ
🕉	ꯑꯣꯝ
✡️	ꯗꯦꯕꯤꯗꯀꯤ ꯁ꯭ꯇꯥꯔ꯫
✡	ꯗꯦꯕꯤꯗꯀꯤ ꯁ꯭ꯇꯥꯔ꯫
☸️	ꯙꯔꯃꯒꯤ ꯍꯨꯏꯜ꯫
☸	ꯙꯔꯃꯒꯤ ꯍꯨꯏꯜ꯫
☯️	ꯌꯤꯟ ꯌꯥꯡ꯫
☯	ꯌꯤꯟ ꯌꯥꯡ꯫
✝️	ꯂꯦꯇꯤꯟ ꯀ꯭ꯔꯣꯁ ꯇꯧꯕꯥ꯫
✝	ꯂꯦꯇꯤꯟ ꯀ꯭ꯔꯣꯁ ꯇꯧꯕꯥ꯫
☦️	ꯑꯣꯔꯊꯣꯗꯣꯛꯁ ꯀ꯭ꯔꯣꯁ ꯇꯧꯕꯥ꯫
☦	ꯑꯣꯔꯊꯣꯗꯣꯛꯁ ꯀ꯭ꯔꯣꯁ ꯇꯧꯕꯥ꯫
☪️	ꯁ꯭ꯇꯥꯔ ꯑꯃꯁꯨꯡ ꯀ꯭ꯔꯦꯁꯦꯟꯇ꯫
☪	ꯁ꯭ꯇꯥꯔ ꯑꯃꯁꯨꯡ ꯀ꯭ꯔꯦꯁꯦꯟꯇ꯫
☮️	ꯁꯥꯟꯇꯤꯒꯤ ꯃꯁꯛ ꯇꯥꯀꯄꯥ꯫
☮	ꯁꯥꯟꯇꯤꯒꯤ ꯃꯁꯛ ꯇꯥꯀꯄꯥ꯫
🕎	ꯃꯦꯅꯣꯔꯥꯗꯥ ꯂꯩꯕꯥ꯫
🔯	ꯗꯣꯇꯦꯗ ꯶-ꯄꯣꯏꯟꯇ ꯁ꯭ꯇꯥꯔ꯫
♈	ꯃꯦꯁ ꯊꯥꯗꯥ ꯂꯩꯕꯥ꯫
♉	ꯇꯎꯔꯁ꯫
♊	ꯃꯤꯊꯨꯟ ꯂꯝ꯫
♋	ꯂꯥꯏꯔꯦꯜ ꯁꯖꯤꯛ
♌	ꯂꯤꯑꯣ꯫
♍	ꯀꯟꯌꯥ ꯊꯥꯗꯥ ꯂꯩꯕꯥ꯫
♎	ꯇꯨꯂꯥꯗꯥ ꯂꯩꯕꯥ꯫
♏	ꯁ꯭ꯀꯣꯔꯄꯤꯑꯣ꯫
♐	ꯁꯦꯖꯤꯇꯦꯔꯤꯌꯁ (ꯁꯦꯖꯤꯇꯦꯔꯤꯌꯁ)꯫
♑	ꯃꯀꯔ ꯊꯥꯗꯥ ꯂꯩꯕꯥ꯫
♒	ꯀꯨꯝꯚꯗꯥ ꯂꯩꯕꯥ꯫
♓	ꯃꯤꯟ ꯒ꯭ꯔꯍꯗꯥ ꯂꯩꯕꯥ꯫
⛎	ꯑꯣꯐꯤꯎꯆꯁ꯫
🔀	ꯁꯐꯐꯜ ꯇ꯭ꯔꯦꯀꯁꯤꯡꯒꯤ ꯕꯇꯟ꯫
🔁	ꯔꯤꯄꯤꯠ ꯇꯧꯕꯥ ꯕꯇꯟ꯫
🔂	ꯁꯤꯉ꯭ꯒꯜ ꯕꯇꯟ ꯑꯗꯨ ꯍꯟꯖꯤꯟ ꯍꯟꯖꯤꯟ ꯇꯧꯕꯥ꯫
▶️	ꯄ꯭ꯂꯦ ꯕꯇꯟ꯫
▶	ꯄ꯭ꯂꯦ ꯕꯇꯟ꯫
⏩	ꯐꯥꯁ꯭ꯠ-ꯐꯣꯔꯋꯥꯔꯗ ꯕꯇꯟ꯫
⏭️	ꯃꯊꯪꯒꯤ ꯇ꯭ꯔꯦꯛ ꯕꯇꯟ ꯑꯗꯨ꯫
⏭	ꯃꯊꯪꯒꯤ ꯇ꯭ꯔꯦꯛ ꯕꯇꯟ ꯑꯗꯨ꯫
⏯️	ꯄ꯭ꯂꯦ ꯅꯠꯠꯔꯒꯥ ꯄꯖ ꯕꯇꯟ꯫
⏯	ꯄ꯭ꯂꯦ ꯅꯠꯠꯔꯒꯥ ꯄꯖ ꯕꯇꯟ꯫
◀️	ꯔꯤꯚꯥꯔꯁ ꯕꯇꯟ꯫
◀	ꯔꯤꯚꯥꯔꯁ ꯕꯇꯟ꯫
⏪	ꯐꯥꯁ꯭ꯠ ꯔꯤꯚꯥꯔꯁ ꯕꯇꯟ꯫
⏮️	ꯑꯔꯣꯏꯕꯥ ꯇ꯭ꯔꯦꯛ ꯕꯇꯟ꯫
⏮	ꯑꯔꯣꯏꯕꯥ ꯇ꯭ꯔꯦꯛ ꯕꯇꯟ꯫
🔼	ꯃꯊꯛꯇꯥ ꯄꯅꯈ꯭ꯔꯤꯕꯥ ꯕꯇꯟ꯫
⏫	ꯐꯥꯁ꯭ꯠ ꯑꯥꯞ ꯕꯇꯟ꯫
🔽	ꯃꯈꯥ ꯊꯪꯕꯥ ꯕꯇꯟ ꯑꯗꯨ꯫
⏬	ꯐꯥꯁ꯭ꯠ ꯗꯥꯎꯟ ꯕꯇꯟ꯫
⏸️	ꯄꯖ ꯕꯇꯟ ꯑꯗꯨ꯫
⏸	ꯄꯖ ꯕꯇꯟ ꯑꯗꯨ꯫
⏹️	ꯁ꯭ꯇꯣꯞ ꯕꯇꯟ ꯑꯗꯨ ꯊꯝꯃꯨ꯫
⏹	ꯁ꯭ꯇꯣꯞ ꯕꯇꯟ ꯑꯗꯨ ꯊꯝꯃꯨ꯫
⏺️	ꯔꯦꯀꯣꯔꯗ ꯇꯧꯕꯥ ꯕꯇꯟ꯫
⏺	ꯔꯦꯀꯣꯔꯗ ꯇꯧꯕꯥ ꯕꯇꯟ꯫
⏏️	ꯏꯖꯦꯛꯇ ꯇꯧꯕꯥ ꯕꯇꯟ꯫
⏏	ꯏꯖꯦꯛꯇ ꯇꯧꯕꯥ ꯕꯇꯟ꯫
🎦	ꯁꯤꯅꯦꯃꯥꯒꯤ ꯂꯃꯗꯥ꯫
🔅	ꯗꯤꯝ ꯕꯇꯟ꯫
🔆	ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯕꯇꯟ꯫
📶	ꯑꯦꯟꯇꯦꯅꯥ ꯕꯥꯔꯁꯤꯡ꯫
📳	ꯚꯥꯏꯕ꯭ꯔꯦꯁꯟ ꯃꯣꯗꯇꯥ ꯂꯩ꯫
📴	ꯃꯣꯕꯥꯏꯜ ꯐꯣꯟ ꯑꯣꯐ ꯇꯧꯕꯥ꯫
♀️	ꯅꯨꯄꯤꯒꯤ ꯁꯥꯏꯟ꯫
♀	ꯅꯨꯄꯤꯒꯤ ꯁꯥꯏꯟ꯫
♂️	ꯅꯨꯄꯥꯒꯤ ꯁꯥꯏꯟ꯫
♂	ꯅꯨꯄꯥꯒꯤ ꯁꯥꯏꯟ꯫
⚕️	ꯃꯦꯗꯤꯀꯦꯜ ꯁꯤꯝꯕꯣꯜ꯫
⚕	ꯃꯦꯗꯤꯀꯦꯜ ꯁꯤꯝꯕꯣꯜ꯫
♾️	ꯂꯣꯏꯕ ꯅꯥꯏꯗꯕ
♾	ꯂꯣꯏꯕ ꯅꯥꯏꯗꯕ
♻️	ꯔꯤꯁꯥꯏꯀꯜ ꯇꯧꯕꯒꯤ ꯁꯤꯝꯕꯣꯜ꯫
♻	ꯔꯤꯁꯥꯏꯀꯜ ꯇꯧꯕꯒꯤ ꯁꯤꯝꯕꯣꯜ꯫
⚜️	ꯐ꯭ꯂꯦꯎꯔ-ꯗꯦ-ꯂꯤꯁ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
⚜	ꯐ꯭ꯂꯦꯎꯔ-ꯗꯦ-ꯂꯤꯁ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🔱	ꯇ꯭ꯔꯥꯏꯗꯦꯟꯇ ꯑꯦꯝꯕ꯭ꯂꯦꯝ꯫
📛	ꯃꯃꯤꯡꯒꯤ ꯕꯦꯖ ꯑꯃꯥ꯫
🔰	ꯕꯤꯒꯤꯅꯔꯒꯤꯗꯃꯛ ꯖꯄꯥꯅꯤꯖ ꯁꯤꯝꯕꯣꯜ꯫
⭕	ꯑꯀꯅꯕꯥ ꯑꯆꯧꯕꯥ ꯁꯔꯀꯜ ꯑꯃꯥ꯫
✅	ꯍꯣꯌꯥꯏꯠ ꯍꯦꯚꯤ ꯆꯦꯛ ꯃꯥꯔꯛ꯫
☑️	ꯆꯦꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯕꯦꯂꯣꯠ ꯕꯣꯛꯁ꯫
☑	ꯆꯦꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯕꯦꯂꯣꯠ ꯕꯣꯛꯁ꯫
✔️	ꯑꯀꯅꯕꯥ ꯆꯦꯛ ꯃꯥꯔꯛ ꯂꯩ꯫
✔	ꯑꯀꯅꯕꯥ ꯆꯦꯛ ꯃꯥꯔꯛ ꯂꯩ꯫
✖️	ꯍꯦꯚꯤ ꯃꯜꯇꯤꯄꯂꯦꯁꯟ x
✖	ꯍꯦꯚꯤ ꯃꯜꯇꯤꯄꯂꯦꯁꯟ x
❌	ꯀ꯭ꯔꯣꯁ ꯃꯥꯔꯛ ꯇꯧꯕꯥ꯫
❎	ꯀ꯭ꯔꯣꯁ ꯃꯥꯔꯛ ꯕꯇꯟ꯫
➕	ꯍꯦꯚꯤ ꯄ꯭ꯂꯥꯁ ꯁꯥꯏꯟ ꯇꯧꯕꯥ꯫
➖	ꯍꯦꯚꯤ ꯃꯥꯏꯅꯤꯡ ꯁꯥꯏꯟ ꯇꯧꯕꯥ꯫
➗	ꯍꯦꯚꯤ ꯗꯤꯚꯤꯖꯟ ꯁꯥꯏꯟ ꯇꯧꯕꯥ꯫
➰	ꯀꯨꯔꯂꯤ ꯂꯨꯞ꯫
➿	ꯗꯕꯜ ꯀꯨꯔꯂꯤ ꯂꯨꯞ꯫
〽️	ꯄꯥꯔꯠ ꯑꯣꯂꯇꯔꯅꯦꯁꯟ ꯃꯥꯔꯛ꯫
〽	ꯄꯥꯔꯠ ꯑꯣꯂꯇꯔꯅꯦꯁꯟ ꯃꯥꯔꯛ꯫
✳️	꯸-ꯁ꯭ꯄꯣꯛ ꯑꯣꯏꯕꯥ ꯑꯦꯁ꯭ꯇꯦꯔꯤꯁ꯭ꯛ꯫
✳	꯸-ꯁ꯭ꯄꯣꯛ ꯑꯣꯏꯕꯥ ꯑꯦꯁ꯭ꯇꯦꯔꯤꯁ꯭ꯛ꯫
✴️	꯸-ꯄꯣꯏꯟꯇ ꯁ꯭ꯇꯥꯔ꯫
✴	꯸-ꯄꯣꯏꯟꯇ ꯁ꯭ꯇꯥꯔ꯫
❇️	ꯁ꯭ꯄꯥꯔꯀꯜ ꯇꯧꯕꯥ꯫
❇	ꯁ꯭ꯄꯥꯔꯀꯜ ꯇꯧꯕꯥ꯫
‼️	ꯗꯕꯜ ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯃꯥꯔꯛ꯫
‼	ꯗꯕꯜ ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯃꯥꯔꯛ꯫
⁉️	ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯀ꯭ꯕꯦꯁꯟ ꯃꯥꯔꯛ꯫
⁉	ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯀ꯭ꯕꯦꯁꯟ ꯃꯥꯔꯛ꯫
❓	ꯀ꯭ꯕꯦꯁꯟ ꯃꯥꯔꯛ꯫
❔	ꯋꯥꯏꯇꯦꯞ ꯀ꯭ꯕꯦꯁꯟ ꯃꯥꯔꯛ꯫
❕	ꯋꯥꯏꯇꯦꯞ ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯃꯥꯔꯛ꯫
❗	ꯑꯦꯛꯁꯛꯂꯦꯃꯦꯁꯟ ꯃꯥꯔꯛ ꯇꯧꯕꯥ꯫
〰️	ꯋꯦꯕ ꯗꯦꯁ꯫
〰	ꯋꯦꯕ ꯗꯦꯁ꯫
©️	ꯀꯣꯄꯤꯔꯥꯏꯠ ꯇꯧꯕꯥ꯫
©	ꯀꯣꯄꯤꯔꯥꯏꯠ ꯇꯧꯕꯥ꯫
®️	ꯔꯦꯖꯤꯁ꯭ꯇꯔ ꯇꯧꯈ꯭ꯔꯦ꯫
®	ꯔꯦꯖꯤꯁ꯭ꯇꯔ ꯇꯧꯈ꯭ꯔꯦ꯫
™️	ꯇ꯭ꯔꯦꯗ ꯃꯥꯔꯛ ꯇꯧꯕꯥ꯫
™	ꯇ꯭ꯔꯦꯗ ꯃꯥꯔꯛ ꯇꯧꯕꯥ꯫
#️⃣	ꯀꯤꯀꯦꯞ: # ꯴.
#⃣	ꯀꯤꯀꯦꯞ: # ꯴.
*️⃣	ꯀꯤꯀꯦꯞ: *
*⃣	ꯀꯤꯀꯦꯞ: *
0️⃣	ꯀꯤꯀꯦꯞ: ꯰
0⃣	ꯀꯤꯀꯦꯞ: ꯰
1️⃣	ꯀꯤꯀꯦꯞ: ꯱
1⃣	ꯀꯤꯀꯦꯞ: ꯱
2️⃣	ꯀꯤꯀꯦꯞ: ꯲
2⃣	ꯀꯤꯀꯦꯞ: ꯲
3️⃣	ꯀꯤꯀꯦꯞ: ꯳
3⃣	ꯀꯤꯀꯦꯞ: ꯳
4️⃣	ꯀꯤꯀꯦꯞ: ꯴
4⃣	ꯀꯤꯀꯦꯞ: ꯴
5️⃣	ꯀꯤꯀꯦꯞ: ꯵
5⃣	ꯀꯤꯀꯦꯞ: ꯵
6️⃣	ꯀꯤꯀꯦꯞ: ꯶
6⃣	ꯀꯤꯀꯦꯞ: ꯶
7️⃣	ꯀꯤꯀꯦꯞ: ꯷
7⃣	ꯀꯤꯀꯦꯞ: ꯷
8️⃣	ꯀꯤꯀꯦꯞ: ꯸
8⃣	ꯀꯤꯀꯦꯞ: ꯸
9️⃣	ꯀꯤꯀꯦꯞ: ꯹
9⃣	ꯀꯤꯀꯦꯞ: ꯹
🔟	ꯀꯤꯀꯦꯞ: ꯱꯰
💯	ꯄꯣꯏꯟꯇ ꯂꯤꯁꯤꯡ ꯑꯃꯥ꯫
🔠	ꯏꯅꯄꯨꯠ ꯂꯦꯇꯤꯟ ꯑꯄꯥꯔꯀꯦꯁ꯫
🔡	ꯏꯅꯄꯨꯠ ꯂꯦꯇꯤꯟ ꯂꯣꯌꯔꯀꯦꯁ꯫
🔢	ꯏꯅꯄꯨꯠ ꯅꯝꯕꯔꯁꯤꯡ꯫
🔣	ꯏꯅꯄꯨꯠ ꯁꯤꯝꯕꯣꯂꯁꯤꯡ꯫
🔤	ꯂꯦꯇꯤꯟ ꯑꯛꯁꯔꯁꯤꯡ ꯏꯅꯄꯨꯠ ꯇꯧꯕꯥ꯫
🅰️	ꯕꯇꯟ ꯑꯃꯥ (ꯏꯒꯤ ꯃꯈꯜ) .
🅰	ꯕꯇꯟ ꯑꯃꯥ (ꯏꯒꯤ ꯃꯈꯜ) .
🆎	ꯑꯦ.ꯕꯤ.ꯒꯤ ꯕꯇꯟ (ꯏꯒꯤ ꯃꯈꯜ) ꯴.
🅱️	ꯕꯤ ꯕꯇꯟ (ꯏꯒꯤ ꯃꯈꯜ) ꯴.
🅱	ꯕꯤ ꯕꯇꯟ (ꯏꯒꯤ ꯃꯈꯜ) ꯴.
🆑	ꯁꯤ.ꯑꯦꯜ.ꯒꯤ ꯕꯇꯟ꯫
🆒	COOL ꯕꯇꯟ ꯑꯗꯨ꯫
🆓	ꯐ꯭ꯔꯤ ꯕꯇꯟ꯫
ℹ️	ꯏꯄꯥꯎ
ℹ	ꯏꯄꯥꯎ
🆔	ꯑꯥꯏ.ꯗꯤ.ꯒꯤ ꯕꯇꯟ꯫
Ⓜ️	ꯁꯔꯀꯜ ꯇꯧꯈꯤꯕꯥ ꯑꯦꯝ
Ⓜ	ꯁꯔꯀꯜ ꯇꯧꯈꯤꯕꯥ ꯑꯦꯝ
🆕	NEW ꯕꯣꯇꯥꯝ ꯑꯃꯥ꯫
🆖	ꯑꯦꯟ.ꯖꯤ.ꯒꯤ ꯕꯇꯟ꯫
🅾️	ꯑꯣ ꯕꯇꯟ (ꯏꯒꯤ ꯃꯈꯜ) ꯴.
🅾	ꯑꯣ ꯕꯇꯟ (ꯏꯒꯤ ꯃꯈꯜ) ꯴.
🆗	ꯑꯣꯀꯦ ꯕꯇꯟ꯫
🅿️	ꯄꯤ ꯕꯇꯟ꯫
🅿	ꯄꯤ ꯕꯇꯟ꯫
🆘	ꯑꯦꯁ.ꯑꯣ.ꯑꯦꯁ.ꯀꯤ ꯕꯇꯟ ꯑꯗꯨ꯫
🆙	ꯌꯨ.ꯄꯤ.ꯒꯤ ꯕꯇꯟ꯫
🆚	ꯚꯤ.ꯑꯦꯁ.ꯒꯤ ꯕꯇꯟ꯫
🈁	ꯖꯄꯥꯅꯤꯖ “ꯃꯐꯃꯁꯤꯗꯥ” ꯕꯇꯟ꯫
🈂️	ꯖꯄꯥꯅꯤꯖ “ꯁꯔꯚꯤꯁ ꯆꯥꯔꯖ” ꯕꯇꯟ꯫
🈂	ꯖꯄꯥꯅꯤꯖ “ꯁꯔꯚꯤꯁ ꯆꯥꯔꯖ” ꯕꯇꯟ꯫
🈷️	ꯖꯄꯥꯅꯤꯖ “ꯊꯥꯒꯤ ꯑꯣꯏꯕꯥ ꯁꯦꯅꯐꯝ” ꯕꯇꯟ꯫
🈷	ꯖꯄꯥꯅꯤꯖ “ꯊꯥꯒꯤ ꯑꯣꯏꯕꯥ ꯁꯦꯅꯐꯝ” ꯕꯇꯟ꯫
🈶	ꯖꯄꯥꯅꯤꯖ “ꯐ꯭ꯔꯤ ꯑꯣꯐ ꯆꯥꯔꯖ ꯅꯠꯇꯦ” ꯕꯇꯟ꯫
🈯	ꯖꯄꯥꯅꯤꯖ “ꯔꯤꯖꯔꯚ” ꯕꯇꯟ꯫
🉐	ꯖꯄꯥꯅꯤꯖ “ꯕꯥꯔꯒꯦꯟ” ꯕꯇꯟ꯫
🈹	ꯖꯄꯥꯅꯤꯖ “ꯗꯤꯁꯀꯥꯎꯟꯇ” ꯕꯇꯟ꯫
🈚	ꯖꯄꯥꯅꯤꯖ “ꯐ꯭ꯔꯤ ꯑꯣꯐ ꯆꯥꯔꯖ” ꯕꯇꯟ꯫
🈲	ꯖꯄꯥꯅꯤꯖ “ꯑꯊꯤꯡꯕꯥ” ꯕꯇꯟ꯫
🉑	ꯖꯄꯥꯅꯤꯖ “ꯌꯥꯕꯥ ꯌꯥꯕꯥ” ꯕꯇꯟ꯫
🈸	ꯖꯄꯥꯅꯤꯖ “ꯑꯦꯞꯂꯤꯀꯦꯁꯟ” ꯕꯇꯟ꯫
🈴	ꯖꯄꯥꯅꯤꯖ “ꯄꯥꯁ ꯇꯧꯕꯥ ꯒ꯭ꯔꯦꯗ” ꯕꯇꯟ꯫
🈳	ꯖꯄꯥꯅꯤꯖ “ꯚꯦꯀꯦꯟꯁꯤ” ꯕꯇꯟ꯫
㊗️	ꯖꯄꯥꯅꯤꯖ “ꯅꯨꯡꯉꯥꯏꯕꯥ” ꯕꯇꯟ꯫
㊗	ꯖꯄꯥꯅꯤꯖ “ꯅꯨꯡꯉꯥꯏꯕꯥ” ꯕꯇꯟ꯫
㊙️	ꯖꯄꯥꯅꯤꯖ “ꯒꯣꯄꯟ” ꯕꯇꯟ꯫
㊙	ꯖꯄꯥꯅꯤꯖ “ꯒꯣꯄꯟ” ꯕꯇꯟ꯫
🈺	ꯖꯄꯥꯅꯤꯖ “ꯕꯤꯖꯤꯅꯦꯁꯀꯤꯗꯃꯛꯇꯥ ꯑꯣꯄꯟ” ꯕꯇꯟ꯫
🈵	ꯖꯄꯥꯅꯤꯖ “ꯅꯣ ꯚꯦꯀꯦꯟꯁꯤ” ꯕꯇꯟ꯫
▪️	ꯕ꯭ꯂꯦꯛ ꯁ꯭ꯃꯣꯜ ꯁ꯭ꯛꯕꯥꯔ꯫
▪	ꯕ꯭ꯂꯦꯛ ꯁ꯭ꯃꯣꯜ ꯁ꯭ꯛꯕꯥꯔ꯫
▫️	ꯑꯉꯧꯕꯥ ꯑꯄꯤꯀꯄꯥ ꯁ꯭ꯛꯕꯥꯔ꯫
▫	ꯑꯉꯧꯕꯥ ꯑꯄꯤꯀꯄꯥ ꯁ꯭ꯛꯕꯥꯔ꯫
◻️	ꯍꯣꯌꯥꯏꯠ ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯛꯕꯥꯔ꯫
