😀	שמייכלענדיק פנים
✝	לאַטייַן קרייַז
☦️	אָרטאָדאָקסיש קרייַז
☦	אָרטאָדאָקסיש קרייַז
☪️	שטערן און קרעססענט
☪	שטערן און קרעססענט
☮️	שלום סימבאָל
☮	שלום סימבאָל
🕎	מנורה
🔯	פּונקט זעקס-שפּיציק שטערן
♈	עריז
♉	טאָראַס
♊	געמיני
♋	ראַק
♌	לעאָ
♍	ווירגאָ
♎	ליבראַ
♏	סקאָרפּיאָ
♐	סאַגיטטאַריוס
♑	קאַפּריקאָרן
♒	אַקוואַריוס
♓	פּיססעס
⛎	אופיושוס
🔀	שאַרן טראַקס קנעפּל
🔁	איבערחזרן קנעפּל
🔂	איבערחזרן איין קנעפּל
▶️	שפּיל קנעפּל
▶	שפּיל קנעפּל
⏩	שנעל-פאָרויס קנעפּל
⏭️	ווייַטער שפּור קנעפּל
⏭	ווייַטער שפּור קנעפּל
⏯️	שפּיל אָדער פּויזע קנעפּל
⏯	שפּיל אָדער פּויזע קנעפּל
◀️	פאַרקערט קנעפּל
◀	פאַרקערט קנעפּל
⏪	שנעל פאַרקערט קנעפּל
⏮️	לעצטע שפּור קנעפּל
⏮	לעצטע שפּור קנעפּל
🔼	אַרוף קנעפּל
⏫	שנעל אַרויף קנעפּל
🔽	אַראָפּ קנעפּל
⏬	שנעל אַראָפּ קנעפּל
⏸️	פּויזע קנעפּל
⏸	פּויזע קנעפּל
⏹️	האַלטן קנעפּל
⏹	האַלטן קנעפּל
⏺️	רעקאָרד קנעפּל
⏺	רעקאָרד קנעפּל
⏏️	אַרויסוואַרפן קנעפּל
⏏	אַרויסוואַרפן קנעפּל
🎦	קינאָ
🔅	טונקל קנעפּל
🔆	העל קנעפּל
📶	אַנטענע באַרס
📳	ווייבריישאַן מאָדע
📴	מאָביל טעלעפאָן אַוועק
♀️	ווייַבלעך צייכן
♀	ווייַבלעך צייכן
♂️	זכר צייכן
♂	זכר צייכן
⚕️	מעדיציניש סימבאָל
⚕	מעדיציניש סימבאָל
♾️	ומענדיקייַט
♾	ומענדיקייַט
♻️	ריסייקלינג סימבאָל
♻	ריסייקלינג סימבאָל
⚜️	פלער-דע-ליס
⚜	פלער-דע-ליס
🔱	טריידענט עמבלעם
📛	נאָמען אָפּצייכן
🔰	יאַפּאַניש סימבאָל פֿאַר אָנהייבער
⭕	שווער גרויס קרייַז
✅	ווייַס שווער טשעק צייכן
☑️	שטים קעסטל מיט טשעק
☑	שטים קעסטל מיט טשעק
✔️	שווער טשעק צייכן
✔	שווער טשעק צייכן
✖️	שווער קייפל X
✖	שווער קייפל X
❌	קרייַז צייכן
❎	קרייַז צייכן קנעפּל
➕	שווער פּלוס צייכן
➖	שווער מינוס צייכן
➗	שווער אָפּטייל צייכן
➰	געגרייַזלט שלייף
➿	טאָפּל געגרייַזלט שלייף
〽️	טייל אָלטערניישאַן צייכן
〽	טייל אָלטערניישאַן צייכן
✳️	אַכט-גערעדט אַסטעריסק
✳	אַכט-גערעדט אַסטעריסק
✴️	אַכט-שפּיציק שטערן
✴	אַכט-שפּיציק שטערן
❇️	פינקלען
❇	פינקלען
‼️	טאָפּל עקסקלאַמיישאַן צייכן
‼	טאָפּל עקסקלאַמיישאַן צייכן
⁉️	עקסקלאַמיישאַן קשיא צייכן
⁉	עקסקלאַמיישאַן קשיא צייכן
❓	פרעגצייכן
❔	ווייַס קשיא צייכן
❕	ווייַס עקסקלאַמיישאַן צייכן
❗	עקסקלאַמיישאַן צייכן
〰️	ווייווי לאָך
〰	ווייווי לאָך
©️	קאַפּירייט
©	קאַפּירייט
®️	רעגיסטרירט
®	רעגיסטרירט
™️	האַנדל צייכן
™	האַנדל צייכן
#️⃣	שליסל קאַפּ: #
#⃣	שליסל קאַפּ: #
*️⃣	שליסל קאַפּ: *
*⃣	שליסל קאַפּ: *
0️⃣	שליסל קאַפּ: 0
0⃣	שליסל קאַפּ: 0
1️⃣	שליסל קאַפּ: 1
1⃣	שליסל קאַפּ: 1
2️⃣	שליסל קאַפּ: 2
2⃣	שליסל קאַפּ: 2
3️⃣	שליסל קאַפּ: 3
3⃣	שליסל קאַפּ: 3
4️⃣	שליסל קאַפּ: 4
4⃣	שליסל קאַפּ: 4
5️⃣	שליסל קאַפּ: 5
5⃣	שליסל קאַפּ: 5
6️⃣	שליסל קאַפּ: 6
6⃣	שליסל קאַפּ: 6
7️⃣	שליסל קאַפּ: 7
7⃣	שליסל קאַפּ: 7
8️⃣	שליסל קאַפּ: 8
8⃣	שליסל קאַפּ: 8
9️⃣	שליסל קאַפּ: 9
9⃣	שליסל קאַפּ: 9
🔟	שליסל קאַפּ: 10
💯	הונדערט פונקטן
🔠	אַרייַנשרייַב לאַטייַן ופּפּערקאַסע
🔡	אַרייַנשרייַב לאַטייַן לאָווערקאַסע
🔢	אַרייַנשרייַב נומערן
🔣	אַרייַנשרייַב סימבאָלס
🔤	אַרייַן לאַטייַן אותיות
🅰️	א קנעפּל (בלוט טיפּ)
🅰	א קנעפּל (בלוט טיפּ)
🆎	AB קנעפּל (בלוט טיפּ)
🅱️	ב קנעפּל (בלוט טיפּ)
🅱	ב קנעפּל (בלוט טיפּ)
🆑	CL קנעפּל
🆒	COOL קנעפּל
🆓	פּאָטער קנעפּל
ℹ️	אינפֿאָרמאַציע
ℹ	אינפֿאָרמאַציע
🆔	ID קנעפּל
Ⓜ️	אַרומרינגלען מ
Ⓜ	אַרומרינגלען מ
🆕	נייַ קנעפּל
🆖	NG קנעפּל
🅾️	אָ קנעפּל (בלוט טיפּ)
🅾	אָ קנעפּל (בלוט טיפּ)
🆗	OK קנעפּל
🅿️	פּ קנעפּל
🅿	פּ קנעפּל
🆘	SOS קנעפּל
🆙	UP קנעפּל
🆚	VS קנעפּל
🈁	יאַפּאַניש "דאָ" קנעפּל
🈂️	יאַפּאַניש "דינסט אָפּצאָל" קנעפּל
🈂	יאַפּאַניש "דינסט אָפּצאָל" קנעפּל
🈷️	יאַפּאַניש "כוידעשלעך סומע" קנעפּל
🈷	יאַפּאַניש "כוידעשלעך סומע" קנעפּל
🈶	יאַפּאַניש "ניט פריי פון אָפּצאָל" קנעפּל
🈯	יאַפּאַניש "רעזערווירט" קנעפּל
🉐	יאַפּאַניש "מעציע" קנעפּל
🈹	יאַפּאַניש "נידעריקאָן" קנעפּל
🈚	יאַפּאַניש "פריי פון אָפּצאָל" קנעפּל
🈲	יאַפּאַניש "פּראָוכיבאַטאַד" קנעפּל
🉑	יאַפּאַניש "אַקסעפּטאַבאַל" קנעפּל
🈸	יאַפּאַניש "אַפּפּליקאַטיאָן" קנעפּל
🈴	יאַפּאַניש "פּאַסינג מיינונג" קנעפּל
🈳	יאַפּאַניש "וואַקאַנסי" קנעפּל
㊗️	יאַפּאַניש "מאַזל - טאָוו" קנעפּל
㊗	יאַפּאַניש "מאַזל - טאָוו" קנעפּל
㊙️	יאַפּאַניש "סוד" קנעפּל
㊙	יאַפּאַניש "סוד" קנעפּל
🈺	יאַפּאַניש "עפענען פֿאַר געשעפט" קנעפּל
🈵	יאַפּאַניש "קיין פרייַ אָרט" קנעפּל
▪️	שוואַרץ קליין קוואַדראַט
▪	שוואַרץ קליין קוואַדראַט
▫️	ווייַס קליין קוואַדראַט
▫	ווייַס קליין קוואַדראַט
◻️	ווייַס מיטל קוואַדראַט
◻	ווייַס מיטל קוואַדראַט
◼️	שוואַרץ מיטל קוואַדראַט
◼	שוואַרץ מיטל קוואַדראַט
◽	ווייַס מיטל-קליין קוואַדראַט
◾	שוואַרץ מיטל-קליין קוואַדראַט
⬛	שוואַרץ גרויס קוואַדראַט
⬜	ווייַס גרויס קוואַדראַט
🔶	גרויס מאַראַנץ דימענט
🔷	גרויס בלוי דימענט
🔸	קליין מאַראַנץ דימענט
🔹	קליין בלוי דימענט
🔺	רויט דרייַעק שפּיציק אַרויף
🔻	רויט דרייעק שפּיציק אַראָפּ
💠	דימענט מיט אַ פּונקט
🔘	ראַדיאָ קנעפּל
🔲	שוואַרץ קוואַדראַט קנעפּל
🔳	ווייַס קוואַדראַט קנעפּל
⚪	ווייַס קרייַז
⚫	שוואַרץ קרייַז
🔴	רויט קרייַז
🔵	בלוי קרייַז
🏁	טשעקערד פאָן
🚩	טרייאַנגגיאַלער פאָן
🎌	קראָסט פלאַגס
🏴	שוואַרץ פאָן
🏳️	ווייַס פאָן
🏳	ווייַס פאָן
🏳️‍🌈	רעגנבויגן פאָן
🏳‍🌈	רעגנבויגן פאָן
🏴‍☠️	פּיראַט פאָן
🏴‍☠	פּיראַט פאָן
🇦🇨	אַססענסיאָן אינזל
🇦🇩	אַנדאָראַ
🇦🇪	פאראייניקטע אַראַבער עמיראַטעס
🇦🇫	אַפגהאַניסטאַן
🇦🇬	אַנטיגואַ & באַרבודאַ
🇦🇮	אַנגווילאַ
🇦🇱	אַלבאַניאַ
🇦🇲	ארמעניע
🇦🇴	אַנגאָלאַ
🇦🇶	אַנטאַרקטיקאַ
🇦🇷	ארגענטינע
🇦🇸	אמעריקאנער סאַמאָאַ
🇦🇹	עסטרייך
🇦🇺	אויסטראַליע
🇦🇼	אַרובאַ
🇦🇽	אַלאַנד אינזלען
🇦🇿	אַזערביידזשאַן
🇧🇦	באָסניאַ און הערזעגאָווינאַ
🇧🇧	באַרבאַדאָס
🇧🇩	באַנגלאַדעש
🇧🇪	בעלגיע
🇧🇫	בורקינאַ פאַסאָ
🇧🇬	בולגאַריאַ
🇧🇭	באַהראַין
🇧🇮	בורונדי
🇧🇯	בענין
🇧🇱	סט באַרטהעלעמי
🇧🇲	בערמודאַ
🇧🇳	ברוניי
🇧🇴	באָליוויאַ
🇧🇶	קאַריבבעאַן נעטהערלאַנדס
🇧🇷	Brazil
🇧🇸	באַהאַמאַס
🇧🇹	באַטאַן
🇧🇻	בווועט אינזל
🇧🇼	באָצוואַנאַ
🇧🇾	בעלארוס
🇧🇿	בעליז
🇨🇦	קאנאדע
🇨🇨	קאָקאָס (קילינג) אינזלען
🇨🇩	קאָנגאָ - קישאַסאַ
🇨🇫	סענטראַל אפריקאנער רעפובליק
🇨🇬	קאָנגאָ - בראַזזאַוויללע
🇨🇭	שווייץ
🇨🇮	קאָוט דיוואַר
🇨🇰	קוק אינזלען
🇨🇱	טשילע
🇨🇲	קאַמערון
🇨🇳	כינע
🇨🇴	קאָלאָמביאַ
🇨🇵	קליפּערטאָן אינזל
🇨🇷	קאסטא ריקא
🇨🇺	קובאַ
🇨🇻	קאַפּע ווערד
🇨🇼	קוראַסאַאָ
🇨🇽	ניטל אינזל
🇨🇾	קיפראס
🇨🇿	טשעכיע
🇩🇪	דייטשלאנד
🇩🇬	דיעגאָ גאַרסיאַ
🇩🇯	דזשיבוטי
🇩🇰	דענמאַרק
🇩🇲	דאָמיניקאַ
🇩🇴	דאָמיניקאַן רעפובליק
🇩🇿	אַלדזשיריאַ
🇪🇦	Ceuta & Melilla
🇪🇨	עקוואַדאָר
🇪🇪	עסטאָניאַ
🇪🇬	מצרים
🇪🇭	מערב סאַהאַראַ
🇪🇷	עריטרייע
🇪🇸	ספּאַין
🇪🇹	עטיאפיע
🇪🇺	אייראפעישער יוניאַן
🇫🇮	פינלאַנד
🇫🇯	פידזשי
🇫🇰	פאַלקלאַנד אינזלען
🇫🇲	מיקראָנעסיאַ
🇫🇴	פאַראָו אינזלען
🇫🇷	פֿראַנקרייַך
🇬🇦	גאַבאָן
🇬🇧	פֿאַראייניקטע מלכות
🇬🇩	גרענאַדאַ
🇬🇪	דזשאָרדזשאַ
🇬🇫	פראנצויזיש גיאַנאַ
🇬🇬	Guernsey
🇬🇭	גאַנאַ
🇬🇮	גיבראלטאר
🇬🇱	גרינלאַנד
🇬🇲	גאַמביאַ
🇬🇳	גיני
🇬🇵	גואַדעלאָופּע
🇬🇶	עקוואַטאָריאַל גיני
🇬🇷	גריכנלאנד
🇬🇸	דרום דזשאָרדזשאַ און דרום סענדוויטש אינזלען
🇬🇹	גואַטעמאַלאַ
🇬🇺	גואַם
🇬🇼	גיני-ביסאַו
🇬🇾	גויאנע
🇭🇰	האָנג קאָנג סאַר טשיינאַ
🇭🇲	הערט און מאַקדאַנאַלד אינזלען
🇭🇳	האָנדוראַס
🇭🇷	קראָאַטיאַ
🇭🇹	האיטי
🇭🇺	אונגארן
🇮🇨	קאַנאַרי אינזלען
🇮🇩	ינדאָנעסיאַ
🇮🇪	ירעלאַנד
🇮🇱	ישראל
🇮🇲	אינזל פון מענטש
🇮🇳	אינדיע
🇮🇴	בריטיש ינדיאַן אקעאן טעריטאָריע
🇮🇶	איראק
🇮🇷	איראן
🇮🇸	יסעלאַנד
🇮🇹	איטאליע
🇯🇪	דזשערזי
🇯🇲	דזשאַמאַיקאַ
🇯🇴	יארדאניע
🇯🇵	יאַפּאַן
🇰🇪	קעניאַ
🇰🇬	קירגיזיע
🇰🇭	קאַמבאָדיאַ
🇰🇮	קיריבאַטי
🇰🇲	קאָמאָראָס
🇰🇳	סט קיטץ & נעוויס
🇰🇵	נארט קאריעא
🇰🇷	דרום קארעע
🇰🇼	קוווייט
🇰🇾	קיימאַן אינזלען
🇰🇿	קאַזאַכסטאַן
🇱🇦	לאַאָס
🇱🇧	לבנון
🇱🇨	סט. לוסיאַ
🇱🇮	ליכטנשטיין
🇱🇰	סרי לאנקא
🇱🇷	ליבעריאַ
🇱🇸	לעסאָטהאָ
🇱🇹	ליטע
🇱🇺	לוקסעמבאָורג
🇱🇻	לאַטוויאַ
🇱🇾	ליביע
🇲🇦	מאָראָקקאָ
🇲🇨	מאָנאַקאָ
🇲🇩	מאָלדאָווע
🇲🇪	מאָנטענעגראָ
🇲🇫	סט. מארטין
🇲🇬	מאַדאַגאַסקאַר
🇲🇭	מאַרשאַל אינזלען
🇲🇰	מאַסעדאָניאַ
🇲🇱	מאַלי
🇲🇲	מיאַנמאַר (בורמאַ)
🇲🇳	מאָנגאָליע
🇲🇴	מאַקאַו סאַר טשיינאַ
🇲🇵	נאָרדערן מאַריאַנאַ אינזלען
🇲🇶	Martinique
🇲🇷	מאַוריטאַניאַ
🇲🇸	מאָנטסעראַט
🇲🇹	מאַלטאַ
🇲🇺	מאַוריטיוס
🇲🇻	מאַלדיוועס
🇲🇼	מאַלאַווי
🇲🇽	מעקסיקא
🇲🇾	מאַלייַסיאַ
🇲🇿	מאָזאַמביק
🇳🇦	נאַמיביאַ
🇳🇨	ניו קאַלעדאָניאַ
🇳🇪	ניגער
🇳🇫	נאָרפאָלק אינזל
🇳🇬	ניגעריאַ
🇳🇮	ניקאַראַגואַ
🇳🇱	נעטהערלאַנדס
🇳🇴	נארוועגיע
🇳🇵	נעפּאַל
🇳🇷	נאַורו
🇳🇺	ניוע
🇳🇿	ניו זילאַנד
🇴🇲	אָמאַן
🇵🇦	פּאַנאַמאַ
🇵🇪	פּערו
🇵🇫	פראנצויזיש פּאָלינעסיאַ
🇵🇬	פּאַפּואַ ניו גיני
🇵🇭	פיליפינען
🇵🇰	פּאַקיסטאַן
🇵🇱	פוילן
🇵🇲	סט פּיער & מיקוועלאָן
🇵🇳	פּיטקאַרן אינזלען
🇵🇷	פּאָרטאַ ריקאָ
🇵🇸	פאלעסטינער טעריטאריעס
🇵🇹	פּאָרטוגאַל
🇵🇼	פּאַלאַו
🇵🇾	פאראגוויי
🇶🇦	קאַטאַר
🇷🇪	רעוניאָן
🇷🇴	רומעניע
🇷🇸	סערביע
🇷🇺	רוסלאַנד
🇷🇼	רוואַנדאַ
🇸🇦	סאודיע אראביע
🇸🇧	שלמה אינזלען
🇸🇨	סייטשעלס
🇸🇩	סודאַן
🇸🇪	שוועדן
🇸🇬	סינגאַפּאָר
🇸🇭	סט העלענאַ
🇸🇮	סלאָוועניאַ
🇸🇯	סוואַלבאַרד & Jan Mayen
🇸🇰	סלאָוואַקיאַ
🇸🇱	סיעראַ ליאָון
🇸🇲	סאַן מאַרינאָ
🇸🇳	סענעגאַל
🇸🇴	סאָמאַליאַ
🇸🇷	סורינאַמע
🇸🇸	דרום סודאַן
🇸🇹	סאַו טאָםע & פּרינסיפּע
🇸🇻	על סאַלוואַדאָר
🇸🇽	Sint Maarten
🇸🇾	סיריע
🇸🇿	סוואַזילאַנד
🇹🇦	טריסטאַן דאַ קונהאַ
🇹🇨	טורקס און קאַיקאָס אינזלען
🇹🇩	טשאד
🇹🇫	פראנצויזיש סאָוטהערן טעריטאָריע
🇹🇬	צו גיין
🇹🇭	טיילאַנד
🇹🇯	טאַדזשיקיסטאַן
🇹🇰	טאָקעלאַו
🇹🇱	טימאָר-לעסטע
🇹🇲	טורקמעניסטאן
🇹🇳	טוניסיאַ
🇹🇴	טאָנגאַ
🇹🇷	טערקיי
🇹🇹	טרינידאַד און טאָבאַגאָ
🇹🇻	טווואַלו
🇹🇼	טייוואַן
🇹🇿	טאַנזאַניאַ
🇺🇦	אוקריינא
🇺🇬	אוגאנדע
🇺🇲	יו.עס. אויסלייג אינזלען
🇺🇳	יונייטעד נעישאנס
🇺🇸	פֿאַראייניקטע שטאַטן
🇺🇾	אורוגוויי
🇺🇿	אוזבעקיסטאן
🇻🇦	וואַטיקאַן סיטי
🇻🇨	סט. ווינסענט & גרענאַדינעס
🇻🇪	ווענעזועלאַ
🇻🇬	בריטיש ווירגין אינזלען
🇻🇮	יו.עס. ווירגין אינזלען
🇻🇳	וויעטנאַם
🇻🇺	וואַנואַטו
🇼🇫	וואָליס & פוטונאַ
🇼🇸	סאַמאָאַ
🇽🇰	קאָסאָוואָ
🇾🇪	תימן
🇾🇹	מייַאָטטע
🇿🇦	דרום אפריקע
🇿🇲	זאַמביאַ
🇿🇼	זימבאַבווע
🏴󠁧󠁢󠁥󠁮󠁧󠁿	ענגלאַנד
🏴󠁧󠁢󠁳󠁣󠁴󠁿	סקאָטלאַנד
🏴󠁧󠁢󠁷󠁬󠁳󠁿	וויילז
